"AH","Agana Heights Village",13.46559,144.74795,39
"AN","Guam Government House",13.47191,144.74978,46
"AN","Hagåtña",13.47567,144.74886,5
"AN","Hagåtña Village",13.47279,144.75802,8
"AS","Asan-Maina Village",13.47215,144.71654,5
"AT","Agat Village",13.38855,144.65852,0
"BA","Barrigada Village",13.46913,144.79901,68
"CP","Chalan Pago-Ordot Village",13.44741,144.75902,46
"DD","Dededo Village",13.51777,144.8391,100
"IN","Inarajan Village",13.27363,144.74845,10
"MA","Mangilao Village",13.44761,144.80109,58
"ME","Merizo Village",13.26584,144.66908,13
"MT","Mongmong-Toto-Maite Village",13.46857,144.78214,46
"PI","Piti Village",13.46256,144.69331,8
"SJ","Sinajana Village",13.46334,144.75406,51
"SR","Santa Rita Village",13.38608,144.67226,77
"TF","Talofofo Village",13.35513,144.75835,101
"TM","Tamuning",13.48754,144.78143,20
"TM","Tamuning-Tumon-Harmon Village",13.48773,144.78138,20
"UM","Umatac Village",13.29843,144.66314,6
"YG","Yigo Village",13.53605,144.88855,132
"YN","Yona Village",13.40974,144.77697,92
