"FUN","Alapi Village",-8.52074,179.1968,7
"FUN","Fakaifou Village",-8.51758,179.20094,8
"FUN","Funafuti",-8.52425,179.19417,7
"FUN","Senala Village",-8.5174,179.19829,8
"FUN","Teone Village",-8.49922,179.19502,6
"FUN","Vaiaku Village",-8.52544,179.1941,7
"NIT","Kulia Village",-6.10819,177.33393,10
"NKF","Savave Village",-8.02731,178.31351,12
"NMG","Toga Village",-6.28764,176.31472,11
"NUI","Tanrake Village",-7.24562,177.14511,4
"VAI","Asau Village",-7.49026,178.68016,9
"VAI","Motufoua School",-7.48996,178.69256,10
